00-0611,3/28/00,14,65.5,1030
00-0793,4/14/00,25,82.5,925
00-0803,4/15/00,13,84,790
00-0839,4/20/00,6,7,120
00-1049,5/13/00,4,25.5,510
00-1301,5/13/00,19,97.25,1175
00-1257,6/4/00,35,358.5,2600
00-1312,6/8/00,23,259.5,1780
00-1299,6/8/00,8,133,980
00-1364,6/13/00,21,54.75,1080
00-1374,6/14/00,5,38,440
00-1409,6/17/00,15,29,350
00-1407,6/17/00,15,30,410
00-1406,6/17/00,14,13,190
00-1416,6/17/00,5,5,45
00-1420,6/18/00,8,60,680
00-1464,6/23/00,15,73.5,880
00-1503,6/26/00,14,71,1760
00-1510,6/26/00,13,42.5,1120
00-1590,7/1/00,12,18,50
,7/2/00,13,13,180
00-1618,7/4/00,13,86.5,580
00-1662,7/8/00,10,49,760
00-1685,7/12/00,11,190.5,1340
00-1713,7/13/00,14,97,1000
00-1719,7/14/00,9,31.5,640
00-1739,7/15/00,16,103,2060
00-1735,7/15/00,7,10.5,320
00-1747,7/16/00,13,71,805
00-2001,8/9/00,8,99,770
00-2039,8/13/00,12,183,1420
00-2089,8/17/00,11,158.5,1240
00-2090,8/18/00,18,139.5,1800
,8/20/00,11,76.5,671
00-2139,8/21/00,13,55.5,950
00-2181,8/26/00,10,52,1020
00-2267,9/2/00,11,51.5,505
00-2263,9/2/00,14,51,850
00-2392,9/17/00,15,112.5,1135
00-2439,9/23/00,15,234.5,1375
00-2458,9/25/00,13,62.5,870
00-2542,10/3/00,11,66,1040
00-ES-026,10/15/00,12,67.5,585
00-2724,10/24/00,8,104,830
00-2967,11/23/00,18,174,1170
00-3102,12/14/00,11,38.5,630
00-3190,12/23/00,15,121.5,1050
00-3227,12/29/00,14,83,1950
01-0312,2/11/01,0,,
01-0388,2/20/01,11,40.75,690
01-0397,2/22/01,15,55.5,1060
01-0481,3/4/01,17,77.5,1180
,3/8/01,6,34.5,270
,3/12/01,17,117.5,995
01-ES-018,3/24/01,11,72.75,640
01-0657,3/26/01,15,21,395
01-0719,4/4/01,5,7.5,140
01-0814,4/14/01,22,81.5,1390
01-ES-013,5/5/01,11,70.5,480
88756,5/22/01,12,221.5,1430
01-1267,5/24/01,9,9,105
01-1304,5/27/01,6,65,645
01-ES-013,6/2/01,5,45.5,250
36526,6/9/01,0,,
01-1540,6/20/01,12,97.5,496
01-1558,6/23/01,7,34.5,1220
01-1734,7/9/01,5,32.5,360
1,7/25/01,0,,
16438,7/29/01,7,48.5,780
19360,7/30/01,9,82,890
56615,8/8/01,10,70,3255
65016,8/10/01,9,27,415
100079,8/19/01,11,37,880
116879,8/25/01,4,7,75
123089,8/26/01,7,32,260
154864,9/3/01,14,35.5,750
158882,9/5/01,10,34,762
160708,9/6/01,12,48.25,555
166552,9/8/01,33,236.5,2230
165822,9/8/01,29,111,
169109,9/9/01,8,40.5,500
180797,9/12/01,18,86,760
01-ES-051,9/22/01,7,41.5,350
238871,9/29/01,10,30,430
250102,10/3/01,5,13.5,276
,10/6/01,4,30,240
292196,10/13/01,18,184,1070
291101,10/13/01,11,74.5,295
291101,10/17/01,9,48.92,430
323972,10/21/01,7,60.5,
397752,11/10/01,16,145.5,1102
415648,11/17/01,8,67,460
443771,11/23/01,39,658.25,2690
453998,11/27/01,16,82.25,950
553709,12/2/01,14,93,990
553709,12/3/01,7,53.25,430
475183,12/4/01,6,7,85
01-ES-060,12/8/01,13,90.25,685
485044,12/9/01,0,,
519377,12/21/01,5,12.5,240
532161,12/26/01,9,9,100
534717,12/27/01,7,38.75,315
02-0007,1/1/02,2,5.5,0
02-0026,1/3/02,1,3,
02-0049,1/5/02,0,,
02-0050,1/6/02,19,161.25,
02-0101,1/12/02,3,15,
02-0112,1/13/02,18,69.5,1105
02-0133,1/17/02,24,135.75,1095
02-0168,1/20/02,42,137.25,0
02-ES-060,1/23/02,52,462.5,206
02-0257,2/3/02,0,,
02-0270,2/5/02,5,10.5,
02-0290,2/9/02,0,,
